k1,b,correct,total,recall,latency
0.8,0.0,1303,2000,0.651500,1.214769
0.8,0.25,1349,2000,0.674500,1.120222
0.8,0.5,1380,2000,0.690000,1.119596
0.8,0.75,1393,2000,0.696500,1.070781
0.8,1.0,1394,2000,0.697000,1.089278
1.0,0.0,1297,2000,0.648500,1.099702
1.0,0.25,1345,2000,0.672500,1.171459
1.0,0.5,1375,2000,0.687500,1.156748
1.0,0.75,1393,2000,0.696500,1.100471
1.0,1.0,1390,2000,0.695000,1.085448
1.2,0.0,1286,2000,0.643000,1.227260
1.2,0.25,1336,2000,0.668000,1.109592
1.2,0.5,1370,2000,0.685000,1.136390
1.2,0.75,1392,2000,0.696000,1.073177
1.2,1.0,1379,2000,0.689500,1.105884
1.5,0.0,1258,2000,0.629000,1.100317
1.5,0.25,1323,2000,0.661500,1.147603
1.5,0.5,1360,2000,0.680000,1.113640
1.5,0.75,1382,2000,0.691000,1.099131
1.5,1.0,1371,2000,0.685500,1.087682
1.8,0.0,1248,2000,0.624000,1.099535
1.8,0.25,1310,2000,0.655000,1.098402
1.8,0.5,1364,2000,0.682000,1.169056
1.8,0.75,1382,2000,0.691000,1.217243
1.8,1.0,1376,2000,0.688000,1.187763
2.0,0.0,1230,2000,0.615000,1.211547
2.0,0.25,1306,2000,0.653000,1.153429
2.0,0.5,1358,2000,0.679000,1.222816
2.0,0.75,1378,2000,0.689000,1.377158
2.0,1.0,1368,2000,0.684000,1.134067
