k1,b,EM,F1,Recall@1,Recall@5,Recall@10,Latency,BuildTime
0.8,0.0,0.1,0.1,0.0,0.0,0.0,0.077485,0.8575
1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.143035,1.9034
1.8,0.0,0.098,0.098,0.0,0.0,0.0,0.221577,2.2078
1.2,0.0,0.097,0.097,0.0,0.0,0.0,0.077797,0.6952
1.5,0.0,0.096,0.096,0.0,0.0,0.0,11.365487,0.5761
1.5,0.25,0.096,0.096,0.0,0.0,0.0,0.120072,1.3021
2.0,0.0,0.096,0.096,0.0,0.0,0.0,0.07707,0.6914
0.8,0.25,0.095,0.095,0.0,0.0,0.0,0.117915,0.7087
1.8,0.25,0.095,0.095,0.0,0.0,0.0,0.193764,2.238
1.0,0.75,0.094,0.094,0.0,0.0,0.0,0.077402,0.7049
1.2,0.25,0.094,0.094,0.0,0.0,0.0,0.078101,0.7212
2.0,0.25,0.094,0.094,0.0,0.0,0.0,0.076431,0.6533
1.0,0.25,0.093,0.093,0.0,0.0,0.0,0.077685,0.7086
0.8,0.75,0.092,0.092,0.0,0.0,0.0,0.134725,0.8405
1.2,0.5,0.092,0.092,0.0,0.0,0.0,27.439407,0.6842
1.5,0.5,0.092,0.092,0.0,0.0,0.0,0.194309,1.8023
1.0,0.5,0.091,0.091,0.0,0.0,0.0,0.076815,0.7161
1.2,0.75,0.091,0.091,0.0,0.0,0.0,0.064039,0.5333
1.8,0.5,0.09,0.09,0.0,0.0,0.0,0.07715,0.6715
0.8,0.5,0.089,0.089,0.0,0.0,0.0,0.138172,1.8477
0.8,1.0,0.089,0.089,0.0,0.0,0.0,0.142114,1.8655
1.5,0.75,0.089,0.089,0.0,0.0,0.0,0.219552,2.1869
2.0,0.75,0.089,0.089,0.0,0.0,0.0,0.342077,0.7568
1.8,0.75,0.088,0.088,0.0,0.0,0.0,0.075288,0.6713
2.0,0.5,0.088,0.088,0.0,0.0,0.0,0.076524,0.6702
1.0,1.0,0.084,0.084,0.0,0.0,0.0,0.074884,0.7389
1.2,1.0,0.081,0.081,0.0,0.0,0.0,0.06406,0.5469
1.5,1.0,0.077,0.077,0.0,0.0,0.0,0.219396,2.3223
1.8,1.0,0.076,0.076,0.0,0.0,0.0,0.075973,0.672
2.0,1.0,0.074,0.074,0.0,0.0,0.0,0.077794,0.7014
